universe_index,family,taxon,issue,detail
484,CYPERACEAE,Carex pairae,NO_API_TAXON,
485,CYPERACEAE,Carex pallescens,NO_API_TAXON,
491,CYPERACEAE,Carex pulicaris,NO_API_TAXON,
495,CYPERACEAE,Carex spicata,NO_API_TAXON,
496,CYPERACEAE,Carex sylvatica,NO_API_TAXON,
497,CYPERACEAE,Carex sylvatica subsp. sylvatica,NO_API_TAXON,
498,ASTERACEAE,Carlina acanthifolia subsp. cynara,NO_EXACT_TAXON_MATCH,
500,ASTERACEAE,Carlina corymbosa subsp. hispanica,NO_EXACT_TAXON_MATCH,
502,ASTERACEAE,Carlina vulgaris subsp. spinosa,NO_EXACT_TAXON_MATCH,
503,ASTERACEAE,Carlina vulgaris subsp. vulgaris,NO_EXACT_TAXON_MATCH,
508,ASTERACEAE,Catananche caerulea,NO_API_TAXON,
512,ASTERACEAE,Centaurea aspera,NO_API_TAXON,
513,ASTERACEAE,Centaurea aspera subsp. aspera,NO_API_TAXON,
514,ASTERACEAE,Centaurea bofiliana,NO_API_TAXON,
516,ASTERACEAE,Centaurea cephalariifolia,NO_API_TAXON,
518,ASTERACEAE,Centaurea debeauxii,NO_API_TAXON,
519,ASTERACEAE,Centaurea graminifolia,NO_API_TAXON,
520,ASTERACEAE,Centaurea jacea subsp. angustifolia,NO_EXACT_TAXON_MATCH,
522,ASTERACEAE,Centaurea lagascana,NO_API_TAXON,
524,ASTERACEAE,Centaurea linifolia,NO_API_TAXON,
526,ASTERACEAE,Centaurea montana,NO_API_TAXON,
527,ASTERACEAE,Centaurea nigra,NO_API_TAXON,
528,ASTERACEAE,Centaurea ornata,NO_API_TAXON,
529,ASTERACEAE,Centaurea paniculata,NO_API_TAXON,
532,ASTERACEAE,Centaurea triumfetti subsp. semidecurrens,NO_API_TAXON,
533,ASTERACEAE,Centaurea vinyalsii,NO_API_TAXON,
534,ASTERACEAE,Centaurea x zubiae,UNPARSABLE_NAME,
536,GENTIANACEAE,Centaurium grandiflorum,NO_API_TAXON,
537,GENTIANACEAE,Centaurium grandiflorum subsp. majus,NO_API_TAXON,
539,GENTIANACEAE,Centaurium quadrifolium subsp. parviflorum,NO_API_TAXON,
541,CAPRIFOLIACEAE,Centranthus calcitrape,NO_API_TAXON,
542,CAPRIFOLIACEAE,Centranthus lecoqii,NO_API_TAXON,
543,CAPRIFOLIACEAE,Centranthus ruber,NO_API_TAXON,
544,CAPRIFOLIACEAE,Centranthus ruber subsp. ruber,NO_API_TAXON,
551,CARYOPHYLLACEAE,Cerastium cerastoides,NO_API_TAXON,
552,CARYOPHYLLACEAE,Cerastium diffusum,NO_API_TAXON,
553,CARYOPHYLLACEAE,Cerastium fontanum subsp. vulgare,NO_EXACT_TAXON_MATCH,
559,PAPAVERACEAE,Ceratocapnos claviculata,NO_API_TAXON,
560,RANUNCULACEAE,Ceratocephala falcata,NO_API_TAXON,
563,PLANTAGINACEAE,Chaenorhinum crassifolium,NO_API_TAXON,
564,PLANTAGINACEAE,Chaenorhinum exile,NO_API_TAXON,
568,PLANTAGINACEAE,Chaenorhinum rupestre,NO_API_TAXON,
569,PLANTAGINACEAE,Chaenorhinum segoviense,NO_API_TAXON,
570,PLANTAGINACEAE,Chaenorhinum semiglabrum,NO_API_TAXON,
573,APIACEAE,Chaerophyllum hirsutum,NO_API_TAXON,
575,APIACEAE,Chaerophyllum temulentum,NO_API_TAXON,
577,IRIDACEAE,Chamaeiris foetidissima,NO_API_TAXON,
578,IRIDACEAE,Chamaeiris reichenbachiana,NO_API_TAXON,
579,ASTERACEAE,Chamaemelaum nobile,NO_API_TAXON,
581,FABACEAE,Chamaespartium delphinense,NO_API_TAXON,
582,FABACEAE,Chamaespartium sagittale,NO_API_TAXON,
583,EUPHORBIACEAE,Chamaesyce canescens,NO_API_TAXON,
584,EUPHORBIACEAE,Chamaesyce prostrata,NO_API_TAXON,
585,EUPHORBIACEAE,Chamaesyce serpens,NO_API_TAXON,
586,PTERIDACEAE,Cheilanthes acrostica,NO_API_TAXON,
587,PTERIDACEAE,Cheilanthes maderensis,NO_API_TAXON,
588,ASTERACEAE,Cheirolophus intybaceus,NO_API_TAXON,
591,AMARANTHACEAE,Chenopodium album subsp. reticulatum,NO_EXACT_TAXON_MATCH,
592,AMARANTHACEAE,Chenopodium ambrosioides,NO_API_TAXON,
593,AMARANTHACEAE,Chenopodium bonus-henricus,NO_API_TAXON,
594,AMARANTHACEAE,Chenopodium botrys,NO_API_TAXON,
596,AMARANTHACEAE,Chenopodium exsuccum,NO_API_TAXON,
599,AMARANTHACEAE,Chenopodium hybridum,NO_API_TAXON,
600,AMARANTHACEAE,Chenopodium murale,NO_API_TAXON,
603,AMARANTHACEAE,Chenopodium urbicum,NO_API_TAXON,
608,SAXIFRAGACEAE,Chrysosplenium oppositifolium,NO_API_TAXON,
610,FABACEAE,Cicer arietinum,NO_API_TAXON,
614,ASTERACEAE,Cirsium echinatum,NO_API_TAXON,
616,ASTERACEAE,Cirsium ferox,NO_API_TAXON,
