universe_index,family,taxon,issue,detail
617,ASTERACEAE,Cirsium filipendulum,NO_API_TAXON,
618,ASTERACEAE,Cirsium monspessulanum,NO_API_TAXON,
619,ASTERACEAE,Cirsium odontolepis,NO_API_TAXON,
620,ASTERACEAE,Cirsium palustre,NO_API_TAXON,
621,ASTERACEAE,Cirsium pyrenaicum,NO_API_TAXON,
622,ASTERACEAE,Cirsium richterianum subsp. giraudiasii,NO_API_TAXON,
623,ASTERACEAE,Cirsium tuberosum,NO_API_TAXON,
624,ASTERACEAE,Cirsium valdespinulosum,NO_API_TAXON,
626,CISTACEAE,Cistus albidus,NO_API_TAXON,
627,CISTACEAE,Cistus clusii,NO_API_TAXON,
629,CISTACEAE,Cistus populifolius,NO_API_TAXON,
630,CISTACEAE,Cistus salvifolius,NO_API_TAXON,
637,BRASSICACEAE,Clypeola jonthlaspi subsp. microcarpa,NO_EXACT_TAXON_MATCH,
644,FABACEAE,Colutea atlantica,NO_API_TAXON,
645,FABACEAE,Colutea brevialata,NO_API_TAXON,
647,APIACEAE,Conopodium arvense,NO_API_TAXON,
648,APIACEAE,Conopodium bourgaei,NO_API_TAXON,
649,APIACEAE,Conopodium capillifolium,NO_API_TAXON,
650,APIACEAE,Conopodium majus subsp. marizianum,NO_API_TAXON,
651,APIACEAE,Conopodium pyrenaeum,NO_API_TAXON,
652,APIACEAE,Conopodium ramosum,NO_API_TAXON,
653,APIACEAE,Conopodium subcarneum,NO_API_TAXON,
655,RANUNCULACEAE,Consolida pubescens,NO_API_TAXON,
659,CONVOLVULACEAE,Convolvulus lanuginosus,NO_API_TAXON,
662,PRIMULACEAE,Coris monspeliensis subsp. fontqueri,NO_EXACT_TAXON_MATCH,
664,CORNACEAE,Cornus sanguinea subsp. sanguinea,NO_EXACT_TAXON_MATCH,
665,FABACEAE,Coronilla glauca,NO_API_TAXON,
666,FABACEAE,Coronilla minima,NO_API_TAXON,
667,FABACEAE,Coronilla minima subsp. lotoides,NO_API_TAXON,
669,FABACEAE,Coronilla valentina subsp. glauca,NO_EXACT_TAXON_MATCH,
670,BRASSICACEAE,Coronopus didymus,NO_API_TAXON,
673,CARYOPHYLLACEAE,Corrigiola litoralis subsp. litoralis,NO_EXACT_TAXON_MATCH,
676,PAPAVERACEAE,Corydalis cava subsp. cava,NO_EXACT_TAXON_MATCH,
677,PAPAVERACEAE,Corydalis intermedia,NO_API_TAXON,
679,POACEAE,Corynephorus canescens,NO_API_TAXON,
682,ROSACEAE,Cotoneaster horizontalis,NO_API_TAXON,
688,ASTERACEAE,Crepis albida,NO_API_TAXON,
689,ASTERACEAE,Crepis albida subsp. albida,NO_API_TAXON,
690,ASTERACEAE,Crepis albida subsp. longicaulis,NO_API_TAXON,
693,ASTERACEAE,Crepis lampsanoides,NO_API_TAXON,
696,ASTERACEAE,Crepis taraxacifolia,NO_API_TAXON,
698,ASTERACEAE,Crepis vesicaria subsp. vesicaria,NO_EXACT_TAXON_MATCH,
700,IRIDACEAE,Crocus nudiflorus,NO_API_TAXON,
703,RUBIACEAE,Cruciata glabra subsp. hirticaulis,NO_EXACT_TAXON_MATCH,
708,POACEAE,Ctenopsis delicatula,NO_API_TAXON,
709,CARYOPHYLLACEAE,Cucubalus baccifer,NO_API_TAXON,
715,CONVOLVULACEAE,Cuscuta nivea,NO_API_TAXON,
718,ASTERACEAE,Cynara cardunculus subsp. flavescens,NO_EXACT_TAXON_MATCH,
720,BORAGINACEAE,Cynoglossum cheirifolium,NO_API_TAXON,
722,BORAGINACEAE,Cynoglossum dioscoridis,NO_API_TAXON,
723,BORAGINACEAE,Cynoglossum germanicum subsp. pellucidum,NO_API_TAXON,
733,CYSTOPTERIDACEAE,Cystopteris dickieana,NO_API_TAXON,
735,CYSTOPTERIDACEAE,Cystopteris fragilis subsp. fragilis,NO_EXACT_TAXON_MATCH,
736,CYSTOPTERIDACEAE,Cystopteris fragilis subsp. huteri,NO_EXACT_TAXON_MATCH,
738,CYTINACEAE,Cytinus hypocistis subsp. macranthus,NO_EXACT_TAXON_MATCH,
746,POACEAE,Dactylis hispanica,NO_API_TAXON,
748,ORCHIDACEAE,Dactylorhiza ericetorum,NO_API_TAXON,
751,ORCHIDACEAE,Dactylorhiza markusii,NO_API_TAXON,
