position309,B_SOURCE_RECORD_ID,nameVerbatim,sourceRank,isHybrid,finalCategory,ID_TAXON_EXACT,state
72,3007,Centaurium erythraea subsp. majus,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
73,5177,Centranthus calcitrapae subsp. calcitrapae,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
74,5080,Cerastium brachypetalum var. brachypetalum,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
75,2289,Chaenorhinum origanifolium subsp. crassifolium,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
76,1117,Chaenorhinum rupestre,species,False,RESOLVED,3444,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
77,686,Chaerophyllum temulentum,species,False,CONFLICT,,CONFLICT_MULTIPLE_EXACT_EIDOS_IDS_VIA_DOCUMENTED_NETWORK
78,4419,Cheilanthes acrostica,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
79,4781,Cicer arietinum,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
80,839,Cirsium pyrenaicum var. longespinosum,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
81,840,Cirsium pyrenaicum var. pyrenaicum,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
82,974,Cirsium richterianum,species,False,RESOLVED,3593,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
83,1367,Cistus populifolius x C. Salvifolius,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
84,79,Cistus salvifolius,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
85,4871,Colutea atlantica,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
86,5071,Conopodium bourgaei,species,False,RESOLVED,3678,RESOLVED_BY_SPANISH_SOURCE_PRECEDENCE
87,5244,Conopodium capillifolium,species,False,RESOLVED,3679,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
88,907,Conopodium ramosum,species,False,RESOLVED,3672,RESOLVED_BY_SPANISH_SOURCE_PRECEDENCE
89,3784,Coronilla valentina subsp. glauca,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
90,5325,Cortaderia spp.,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
91,2015,Cotoneaster nebrodensis,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
92,1878,Crataegus monogyna subsp. brevispina,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
93,1879,Crataegus monogyna subsp. monogyna,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
94,5528,Cylindropuntia spp.,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
95,4957,Cytisus balansae subsp. europaeus,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
96,173,Cytisus scoparius subsp. cantabricus,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
97,3594,Dactylis hispanica,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
98,2934,Dactylorhiza elata subsp. sesquipedalis,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
99,2994,Dactylorhiza ericetorum,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
100,2483,Dactylorhiza incarnata subsp. incarnata,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
101,1624,Dactylorhiza maculata subsp. elodes,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
